Link,Bedrooms,Bathrooms,Area_m2,Price_per_meter,Address,City,Location_1,Location_2,Unit,Type,Rent_Sale
https://www.propertysorted.com/buy/listing/ad-compound-andalus-bedrooms-4-sqm-235-property-type-apartment,4.0,,235.0,27407.0,"Andalus, New Cairo, Egypt",Cairo,New Cairo,Andalus,Apartment,Residential,Sale
https://www.propertysorted.com/buy/listing/ad-compound-mivida-bedrooms-4-sqm-289-property-type-apartment,4.0,,289.0,101190.0,"Mivida, New Cairo, Egypt",Cairo,New Cairo,Mivida,Apartment,Residential,Sale
https://www.propertysorted.com/buy/listing/ad-compound-city-gate-bedrooms-4-sqm-330-property-type-apartment,4.0,,330.0,85029.0,"City Gate, New Cairo, Egypt",Cairo,New Cairo,City Gate,Apartment,Residential,Sale
https://www.propertysorted.com/buy/listing/ad-compound-90-avenue-bedrooms-3-sqm-190-property-type-apartment,3.0,,190.0,66061.0,"90 Avenue, New Cairo, Egypt",Cairo,New Cairo,90 Avenue,Apartment,Residential,Sale
https://www.propertysorted.com/buy/listing/ad-compound-swan-lake-residence-bedrooms-6-sqm-252-property-type-apartment,6.0,,252.0,99556.0,"Swan Lake Residence, New Cairo, Egypt",Cairo,New Cairo,Swan Lake Residence,Apartment,Residential,Sale
https://www.propertysorted.com/buy/listing/ad-compound-loaloa-el-ahram-bedrooms-2-sqm-110-property-type-apartment,2.0,,110.0,23684.0,"Loaloa El Ahram, New Cairo, Egypt",Cairo,New Cairo,Loaloa El Ahram,Apartment,Residential,Sale
https://www.propertysorted.com/buy/listing/ad-compound-eelaf-residence-bedrooms-4-sqm-230-property-type-apartment,4.0,,230.0,65330.0,"Eelaf Residence, New Cairo, Egypt",Cairo,New Cairo,Eelaf Residence,Apartment,Residential,Sale
https://www.propertysorted.com/buy/listing/ad-compound-silver-palm-bedrooms-4-sqm-350-property-type-apartment,4.0,,350.0,100610.0,"Silver Palm, New Cairo, Egypt",Cairo,New Cairo,Silver Palm,Apartment,Residential,Sale
https://www.propertysorted.com/buy/listing/ad-compound-el-patio-7-bedrooms-3-sqm-160-property-type-apartment,3.0,,160.0,67188.0,"El Patio 7, New Cairo, Egypt",Cairo,New Cairo,El Patio 7,Apartment,Residential,Sale
https://www.propertysorted.com/buy/listing/ad-compound-valencia-valley-bedrooms-3-sqm-139-property-type-apartment,3.0,,139.0,58957.0,"Valencia Valley, New Cairo, Egypt",Cairo,New Cairo,Valencia Valley,Apartment,Residential,Sale
https://www.propertysorted.com/buy/listing/ad-compound-al-narges-8-bedrooms-2-sqm-220-property-type-apartment,2.0,,220.0,40000.0,"Al Narges 8, New Cairo, Egypt",Cairo,New Cairo,Al Narges 8,Apartment,Residential,Sale
https://www.propertysorted.com/buy/listing/ad-compound-mivida-bedrooms-5-sqm-289-property-type-apartment,5.0,,289.0,101190.0,"Mivida, New Cairo, Egypt",Cairo,New Cairo,Mivida,Apartment,Residential,Sale
https://www.propertysorted.com/buy/listing/ad-compound-stone-residence-bedrooms-2-sqm-140-property-type-apartment,2.0,,140.0,45143.0,"Stone Residence, Katameya, Egypt",Cairo,Katameya,Stone Residence,Apartment,Residential,Sale
https://www.propertysorted.com/buy/listing/ad-compound-nakheel-new-cairo-bedrooms-5-sqm-350-property-type-apartment,5.0,,350.0,37297.0,"Nakheel New Cairo, New Cairo, Egypt",Cairo,New Cairo,Nakheel New Cairo,Apartment,Residential,Sale
